challenge_impact_categories_id,created_at,updated_at,deleted_at,challenge_id,impact_category_id
0b430e1b-6ec8-4ab7-956c-c7ad27d58c4b,2024-06-12 03:22:14.221,2024-06-12 03:22:14.221,,2e80a9cf-5007-4eac-9cc8-9a603d954d6a,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
0c3cf72c-63e5-4d62-912f-fb2379b406ca,2024-06-12 03:22:14.221,2024-06-12 03:22:14.221,,2e80a9cf-5007-4eac-9cc8-9a603d954d6a,7d34a5fa-e2cf-466d-9f01-d731f6967082
1d4b6738-e291-4820-a331-ad17a1e70eb0,2024-06-12 03:21:57.989,2024-06-12 03:21:57.989,,aa013dc7-4fb3-4cf1-9cc0-e1a0ad60414d,b5d07366-3b31-4011-95e3-34735b0b61f8
216b004b-4750-4e52-bc80-c7dabf83eff3,2024-06-12 03:22:07.009,2024-06-12 03:22:07.009,,1e0f4c4f-5b54-4421-b8c1-46a2d382f8b2,7d34a5fa-e2cf-466d-9f01-d731f6967082
224bf484-9c01-4f2a-85d1-898cf7b94590,2024-06-12 03:22:08.811,2024-06-12 03:22:08.811,,c0aa381d-4c14-4eba-9811-c6356176ab67,b5d07366-3b31-4011-95e3-34735b0b61f8
2487b05d-3eac-4310-bdd4-a2559e09ed78,2024-06-12 03:21:59.797,2024-06-12 03:21:59.797,,5550e03b-15c6-43c9-997c-4086adc8b573,b5d07366-3b31-4011-95e3-34735b0b61f8
294f08bb-3223-4c41-8777-359389618c79,2024-06-12 03:22:10.613,2024-06-12 03:22:10.613,,1f6774a8-a173-4161-ad3e-e58400e007b2,e8e714bd-c34e-4278-980c-39bd1f55b5fb
2c51bb66-f6c0-4e51-a13e-9d4212d5ea77,2024-06-12 03:22:12.415,2024-06-12 03:22:12.415,,b0ac9f1c-4e13-4848-977a-02dd540369a7,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
328b2df8-1a3a-4b0d-9bc7-8af87446fe79,2024-06-12 03:22:01.602,2024-06-12 03:22:01.602,,9b21b3e5-46ff-42a1-92cc-4969c078ff83,7d34a5fa-e2cf-466d-9f01-d731f6967082
348bcdc0-876a-4e25-aaa5-3dc7a1dd9e88,2024-06-12 03:22:10.613,2024-06-12 03:22:10.613,,1f6774a8-a173-4161-ad3e-e58400e007b2,b5d07366-3b31-4011-95e3-34735b0b61f8
3b6a6eff-f33e-47ec-b3eb-736f7f74c8b8,2024-06-12 03:22:01.602,2024-06-12 03:22:01.602,,9b21b3e5-46ff-42a1-92cc-4969c078ff83,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
3e222618-707c-4673-aefe-0764249a40a9,2024-06-12 03:22:16.025,2024-06-12 03:22:16.025,,0d1233b8-d6e0-40df-8c6f-2ae1f8f2bfb7,7d34a5fa-e2cf-466d-9f01-d731f6967082
49bbaa6f-64e0-4790-b8e4-ef86f054c256,2024-06-12 03:22:05.207,2024-06-12 03:22:05.207,,4cc8b34f-9e3e-4f05-a73a-035395ff546d,e8e714bd-c34e-4278-980c-39bd1f55b5fb
4ad80d7b-3437-46e5-b926-4041bb102062,2024-06-12 03:22:17.835,2024-06-12 03:22:17.835,,ce6bf160-34ba-4685-80d7-10df1bd04fd1,b5d07366-3b31-4011-95e3-34735b0b61f8
508ce3d6-7f66-4b5b-a033-4fa2892569e6,2024-06-12 03:22:05.207,2024-06-12 03:22:05.207,,4cc8b34f-9e3e-4f05-a73a-035395ff546d,b5d07366-3b31-4011-95e3-34735b0b61f8
52ec5507-0979-419d-b021-b9243ffe503e,2024-06-12 03:22:17.835,2024-06-12 03:22:17.835,,ce6bf160-34ba-4685-80d7-10df1bd04fd1,e8e714bd-c34e-4278-980c-39bd1f55b5fb
641679a8-b2ca-40f1-9ca9-23a885a05609,2024-06-12 03:22:12.415,2024-06-12 03:22:12.415,,b0ac9f1c-4e13-4848-977a-02dd540369a7,e8e714bd-c34e-4278-980c-39bd1f55b5fb
6995153d-53fc-4683-90d4-c79112b1a392,2024-06-12 03:21:57.989,2024-06-12 03:21:57.989,,aa013dc7-4fb3-4cf1-9cc0-e1a0ad60414d,e8e714bd-c34e-4278-980c-39bd1f55b5fb
70c1e180-1e89-4927-b19e-1e19bd434396,2024-06-12 03:21:54.385,2024-06-12 03:21:54.385,,ba2621ac-6f99-43cb-ab8a-7db626b7c4e4,b5d07366-3b31-4011-95e3-34735b0b61f8
77fd08cf-64b0-4562-bc4c-f4e784255ba4,2024-06-12 03:21:56.186,2024-06-12 03:21:56.186,,5086c59a-e2f9-44d0-bcc6-f7fdb58f07a4,b5d07366-3b31-4011-95e3-34735b0b61f8
86be0ac3-b5a6-4dd8-95b1-b48dc9623862,2024-06-12 03:21:59.797,2024-06-12 03:21:59.797,,5550e03b-15c6-43c9-997c-4086adc8b573,e8e714bd-c34e-4278-980c-39bd1f55b5fb
9326c7e7-e586-4704-9c9b-2741c26c22bb,2024-06-12 03:22:03.404,2024-06-12 03:22:03.404,,85dd4189-9d2a-42f9-8b26-b03daa7e5869,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
9539b8ad-e328-4e71-8d97-350d6458cdcd,2024-06-12 03:21:52.581,2024-06-12 03:21:52.581,,5fe8f4f6-43ee-4420-8969-bf1a0e19260c,b5d07366-3b31-4011-95e3-34735b0b61f8
9a7395cc-a3de-48c1-85b2-202076142d14,2024-06-12 03:22:03.404,2024-06-12 03:22:03.404,,85dd4189-9d2a-42f9-8b26-b03daa7e5869,e8e714bd-c34e-4278-980c-39bd1f55b5fb
a5c47d46-a205-4cda-ab01-4ee413d3ee96,2024-06-12 03:22:16.025,2024-06-12 03:22:16.025,,0d1233b8-d6e0-40df-8c6f-2ae1f8f2bfb7,e8e714bd-c34e-4278-980c-39bd1f55b5fb
aea1fc18-0dc2-4ecd-a32b-d7e28d9f89b4,2024-06-12 03:22:10.613,2024-06-12 03:22:10.613,,1f6774a8-a173-4161-ad3e-e58400e007b2,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
b40bcf63-0732-451a-ac5c-2976d508d2ec,2024-06-12 03:21:54.385,2024-06-12 03:21:54.385,,ba2621ac-6f99-43cb-ab8a-7db626b7c4e4,7d34a5fa-e2cf-466d-9f01-d731f6967082
b80b0f40-68e5-464f-87fc-acc63c6a990f,2024-06-12 03:22:07.009,2024-06-12 03:22:07.009,,1e0f4c4f-5b54-4421-b8c1-46a2d382f8b2,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
b93af007-4672-4d98-995c-de1896719d6c,2024-06-12 03:21:56.186,2024-06-12 03:21:56.186,,5086c59a-e2f9-44d0-bcc6-f7fdb58f07a4,e8e714bd-c34e-4278-980c-39bd1f55b5fb
b98236a3-c773-4657-b263-7d84c34e0228,2024-06-12 03:21:57.989,2024-06-12 03:21:57.989,,aa013dc7-4fb3-4cf1-9cc0-e1a0ad60414d,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
c44695db-6b3f-4847-9fe6-218aa8a366d3,2024-06-12 03:22:12.415,2024-06-12 03:22:12.415,,b0ac9f1c-4e13-4848-977a-02dd540369a7,b5d07366-3b31-4011-95e3-34735b0b61f8
c4908af5-f08b-43af-b718-8938c214a9e3,2024-06-12 03:21:59.797,2024-06-12 03:21:59.797,,5550e03b-15c6-43c9-997c-4086adc8b573,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
c5856377-f2a9-4dfb-bcd0-c624914ea2c3,2024-06-12 03:22:03.404,2024-06-12 03:22:03.404,,85dd4189-9d2a-42f9-8b26-b03daa7e5869,b5d07366-3b31-4011-95e3-34735b0b61f8
ddda92e5-226a-4f17-ba13-c5872a5e560d,2024-06-12 03:22:16.025,2024-06-12 03:22:16.025,,0d1233b8-d6e0-40df-8c6f-2ae1f8f2bfb7,b5d07366-3b31-4011-95e3-34735b0b61f8
de17239b-0d7d-4dff-9e51-e50710386f46,2024-06-12 03:22:08.811,2024-06-12 03:22:08.811,,c0aa381d-4c14-4eba-9811-c6356176ab67,e8e714bd-c34e-4278-980c-39bd1f55b5fb
e68a3b6e-054c-4d72-bba7-97ef1cbb003f,2024-06-12 03:21:52.581,2024-06-12 03:21:52.581,,5fe8f4f6-43ee-4420-8969-bf1a0e19260c,e8e714bd-c34e-4278-980c-39bd1f55b5fb
f87686c0-cab9-42b8-92a4-167092040590,2024-06-12 03:22:17.835,2024-06-12 03:22:17.835,,ce6bf160-34ba-4685-80d7-10df1bd04fd1,83808762-e2b8-4b34-a1eb-0ed8d4fda3dd
