timestamp,textPayload
2024-06-13 02:24:44,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 02:25:05,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 02:25:10,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 02:25:12,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 03:21:19,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 03:21:34,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 04:34:31,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 04:34:39,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 04:42:00,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 05:05:06,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 05:43:40,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 05:51:51,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 05:56:43,[LOG_DE_START]  a7f8a359-59e1-4556-98e6-743b08e450cd OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:46:10,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:50:30,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:51:01,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:51:13,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:53:07,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:55:10,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:55:24,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:55:33,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:56:56,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:58:01,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 16:59:14,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 17:04:46,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 17:06:00,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 17:06:48,[LOG_DE_START]  81803ee0-2bd4-4df2-ac1f-eaa6776a8284 OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 21:41:20,[LOG_DE_START]  481e699d-ae5e-451a-9bc0-101699f90abe OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 21:41:21,[LOG_DE_START]  481e699d-ae5e-451a-9bc0-101699f90abe OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 21:41:23,[LOG_DE_START]  481e699d-ae5e-451a-9bc0-101699f90abe OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 21:41:25,[LOG_DE_START]  481e699d-ae5e-451a-9bc0-101699f90abe OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
2024-06-13 21:41:27,[LOG_DE_START]  481e699d-ae5e-451a-9bc0-101699f90abe OPEN-CATEGORY Mengurangi Limbah  [LOG_DE_END]
